OrderID,CustomerID,Country,Gender,Category,Quantity,PricePerUnit,OrderDate,PaymentMethod,ShippingMethod,TotalPrice
ORD100000,CUST12270,Brazil,Other,Automotive,5,273.88,2023-12-31,Credit Card,Express,1369.4
ORD100001,CUST5860,United States,Female,Automotive,1,273.88,2023-08-06,PayPal,Overnight,273.88
ORD100002,CUST10390,Brazil,Female,Clothing,5,273.88,2023-07-30,Gift Card,Standard,1369.4
ORD100003,CUST10191,United States,Female,Automotive,1,273.88,2023-04-09,PayPal,Express,273.88
ORD100004,CUST10734,China,Male,Beauty,1,273.88,2023-04-19,Bank Transfer,Express,273.88
ORD100005,CUST11265,India,Male,Electronics,5,273.88,2023-12-11,PayPal,Two-Day,1369.4
ORD100006,CUST5466,China,Other,Home & Garden,3,273.88,2023-09-10,Credit Card,Overnight,821.64
ORD100007,CUST9426,United Kingdom,Female,Clothing,2,273.88,2023-01-12,Bank Transfer,Two-Day,547.76
ORD100008,CUST10578,United Kingdom,Female,Beauty,4,273.88,2023-04-28,Gift Card,Two-Day,1095.52
ORD100009,CUST13322,United States,Male,Beauty,5,273.88,2023-03-29,PayPal,Overnight,1369.4
ORD100010,CUST6685,Germany,Female,Beauty,5,273.88,2023-12-10,Bank Transfer,Two-Day,1369.4
ORD100011,CUST5769,Canada,Other,Toys,3,273.88,2023-07-28,PayPal,Standard,821.64
ORD100012,CUST11949,South Africa,Female,Automotive,2,273.88,2023-05-10,Gift Card,Standard,547.76
ORD100013,CUST7433,Australia,Female,Toys,5,273.88,2023-11-25,Gift Card,Overnight,1369.4
ORD100014,CUST10311,United Kingdom,Male,Toys,4,273.88,2023-07-02,Bank Transfer,Overnight,1095.52
ORD100015,CUST10051,China,Female,Home & Garden,2,273.88,2023-03-24,Gift Card,Express,547.76
ORD100016,CUST11420,China,Other,Toys,5,273.88,2023-09-11,Bank Transfer,Overnight,1369.4
ORD100017,CUST6184,Brazil,Other,Clothing,5,273.88,2023-01-05,Gift Card,Overnight,1369.4
ORD100018,CUST9555,India,Other,Books,1,273.88,2023-10-30,Credit Card,Standard,273.88
ORD100019,CUST8385,United States,Other,Beauty,1,273.88,2023-01-24,Bank Transfer,Standard,273.88
ORD100020,CUST11396,Australia,Male,Home & Garden,5,273.88,2023-05-01,PayPal,Overnight,1369.4
ORD100021,CUST13666,United States,Female,Toys,3,273.88,2023-04-05,Bank Transfer,Express,821.64
ORD100022,CUST14274,United Kingdom,Male,Electronics,1,273.88,2023-08-12,Gift Card,Standard,273.88
ORD100023,CUST7558,France,Other,Sports,5,273.88,2023-08-27,Gift Card,Standard,1369.4
ORD100024,CUST12849,Australia,Female,Clothing,2,273.88,2023-08-15,Gift Card,Two-Day,547.76
ORD100025,CUST7047,Brazil,Male,Home & Garden,4,273.88,2023-05-22,PayPal,Overnight,1095.52
ORD100026,CUST7747,China,Female,Sports,1,273.88,2023-02-20,PayPal,Two-Day,273.88
ORD100027,CUST14167,Brazil,Other,Sports,5,273.88,2023-05-25,Gift Card,Overnight,1369.4
ORD100028,CUST14998,United Kingdom,Other,Toys,1,273.88,2023-12-04,Credit Card,Express,273.88
ORD100029,CUST5189,France,Female,Home & Garden,2,273.88,2023-11-24,Bank Transfer,Two-Day,547.76
ORD100030,CUST7734,South Africa,Female,Automotive,3,273.88,2023-11-03,Gift Card,Standard,821.64
ORD100031,CUST8005,Australia,Other,Books,5,273.88,2023-02-21,Credit Card,Overnight,1369.4
ORD100032,CUST9658,United States,Male,Books,2,273.88,2023-01-12,PayPal,Overnight,547.76
ORD100033,CUST6899,Australia,Other,Home & Garden,4,273.88,2023-12-03,Gift Card,Two-Day,1095.52
ORD100034,CUST12734,China,Female,Home & Garden,5,273.88,2023-04-05,Bank Transfer,Two-Day,1369.4
ORD100035,CUST6267,United States,Male,Beauty,4,273.88,2023-05-09,Bank Transfer,Express,1095.52
ORD100036,CUST6528,South Africa,Other,Electronics,3,273.88,2023-01-11,PayPal,Standard,821.64
ORD100037,CUST8556,South Africa,Female,Books,5,273.88,2023-09-29,Gift Card,Express,1369.4
ORD100038,CUST8890,India,Female,Beauty,5,273.88,2023-12-23,Gift Card,Standard,1369.4
ORD100039,CUST13838,United States,Female,Automotive,2,273.88,2023-04-02,Gift Card,Standard,547.76
ORD100040,CUST10393,Canada,Male,Sports,1,273.88,2023-01-09,Credit Card,Overnight,273.88
ORD100041,CUST13792,France,Male,Sports,5,273.88,2023-05-03,Credit Card,Standard,1369.4
ORD100042,CUST13433,Canada,Male,Sports,3,273.88,2023-09-21,Gift Card,Two-Day,821.64
ORD100043,CUST12513,South Africa,Male,Home & Garden,5,273.88,2023-10-08,Bank Transfer,Overnight,1369.4
ORD100044,CUST7612,United States,Female,Automotive,5,273.88,2023-04-29,Credit Card,Express,1369.4
ORD100045,CUST12041,India,Female,Clothing,5,273.88,2023-07-09,Bank Transfer,Standard,1369.4
ORD100046,CUST14555,Australia,Male,Beauty,5,273.88,2023-10-06,Credit Card,Overnight,1369.4
ORD100047,CUST11235,Australia,Male,Clothing,3,273.88,2023-10-27,PayPal,Two-Day,821.64
ORD100048,CUST10486,Australia,Female,Toys,2,273.88,2023-02-25,PayPal,Express,547.76
ORD100049,CUST12099,India,Other,Electronics,1,273.88,2023-07-15,PayPal,Overnight,273.88
ORD100050,CUST14670,United Kingdom,Other,Electronics,3,273.88,2023-01-23,Bank Transfer,Overnight,821.64
ORD100051,CUST5775,United States,Female,Beauty,3,273.88,2023-09-22,Bank Transfer,Two-Day,821.64
ORD100052,CUST13226,Canada,Male,Sports,4,273.88,2023-09-02,Gift Card,Two-Day,1095.52
ORD100053,CUST8152,France,Male,Toys,1,273.88,2023-09-17,Gift Card,Standard,273.88
ORD100054,CUST6585,South Africa,Female,Books,2,273.88,2023-08-19,PayPal,Express,547.76
ORD100055,CUST8943,France,Other,Automotive,2,273.88,2023-07-29,PayPal,Overnight,547.76
ORD100056,CUST12555,South Africa,Female,Electronics,4,273.88,2023-06-11,Credit Card,Two-Day,1095.52
ORD100057,CUST8073,United States,Female,Clothing,4,273.88,2023-12-20,PayPal,Two-Day,1095.52
ORD100058,CUST6021,United States,Female,Clothing,3,273.88,2023-06-19,PayPal,Overnight,821.64
ORD100059,CUST8843,Brazil,Male,Books,2,273.88,2023-12-05,PayPal,Two-Day,547.76
ORD100060,CUST12989,Canada,Male,Home & Garden,2,273.88,2023-10-17,Bank Transfer,Two-Day,547.76
ORD100061,CUST14692,China,Male,Sports,2,273.88,2023-08-15,Bank Transfer,Standard,547.76
ORD100062,CUST11873,South Africa,Other,Home & Garden,3,273.88,2023-12-27,PayPal,Overnight,821.64
ORD100063,CUST10675,Germany,Female,Beauty,2,273.88,2023-12-29,Credit Card,Standard,547.76
ORD100064,CUST5161,China,Female,Electronics,5,273.88,2023-02-12,Credit Card,Express,1369.4
ORD100065,CUST9297,Australia,Other,Books,4,273.88,2023-07-14,Gift Card,Two-Day,1095.52
ORD100066,CUST5995,France,Male,Books,4,273.88,2023-01-12,PayPal,Standard,1095.52
ORD100067,CUST12629,United States,Female,Books,4,273.88,2023-09-29,Bank Transfer,Overnight,1095.52
ORD100068,CUST14467,Germany,Other,Home & Garden,4,273.88,2023-03-03,PayPal,Express,1095.52
ORD100069,CUST6016,South Africa,Male,Automotive,5,273.88,2023-01-17,Credit Card,Express,1369.4
ORD100070,CUST12869,United Kingdom,Male,Home & Garden,1,273.88,2023-09-28,Bank Transfer,Standard,273.88
ORD100071,CUST11439,South Africa,Female,Beauty,2,273.88,2023-01-26,Bank Transfer,Standard,547.76
ORD100072,CUST12892,France,Male,Clothing,4,273.88,2023-02-14,Bank Transfer,Two-Day,1095.52
ORD100073,CUST11863,South Africa,Other,Clothing,2,273.88,2023-05-25,Gift Card,Standard,547.76
ORD100074,CUST12916,South Africa,Male,Toys,2,273.88,2023-03-06,PayPal,Standard,547.76
ORD100075,CUST13529,India,Female,Beauty,5,273.88,2023-12-16,PayPal,Standard,1369.4
ORD100076,CUST5878,Canada,Other,Automotive,2,273.88,2023-10-13,PayPal,Express,547.76
ORD100077,CUST14268,China,Male,Books,4,273.88,2023-03-09,Credit Card,Overnight,1095.52
ORD100078,CUST9887,United Kingdom,Male,Clothing,2,273.88,2023-12-28,Bank Transfer,Standard,547.76
ORD100079,CUST9859,United States,Male,Beauty,5,273.88,2023-10-27,Bank Transfer,Express,1369.4
ORD100080,CUST11331,South Africa,Other,Clothing,4,273.88,2023-04-06,Credit Card,Express,1095.52
ORD100081,CUST13571,United Kingdom,Male,Automotive,5,273.88,2023-03-01,Gift Card,Standard,1369.4
ORD100082,CUST13684,Brazil,Female,Toys,3,273.88,2023-09-14,Credit Card,Express,821.64
